Dia;Q_entrada;NH_entrada;TSS_entrada;DQO_entrada;DBO_entrada;TN_entrada;TP_entrada;DQO_saida;Nitrato_saida;Amonia_saida
24;8004,659076878;20,9998013033229;341,0;493,0;250,120012915284;37,4597933554558;8,90999801303323;67,0;1,4;0,9
25;8330,74870457724;22,0005149496368;349,0;504,000514949637;255,969966528274;38,8005406971187;9,00000514949637;68,0;1,6;0,9
26;8169,87221634405;23,9935299414708;356,885156461106;515,833395992873;261,671046946797;41,1780223041478;9,09856041197725;68,0;1,9;0,8
27;7851,54613653958;18,0024148894607;223,068917229995;322,099753510801;163,785543636413;28,7757288608438;7,42086750259859;49,0;9,2;0,5
28;10470,287504341;24,9892258224877;459,811451893534;664,72645560427;337,666102894903;47,1701096711814;10,4076117239848;62,0;10,0;0,6
29;10230,927112389;14,0076422544514;382,10444414417;551,151995949645;279,902161295778;32,3927116165709;9,41132890313517;67,0;2,6;1,4
30;7466,26505458581;20,9966354931229;549,90878448022;794,867288895402;403,517764068401;47,5022242507728;11,5388448526388;66,0;1,6;1,0
31;8081,8345640931;19,0002118257451;473,999788174255;684,000211825745;347,49;41,8402097074876;10,58;69,0;1,4;1,1
32;7918,58848367991;17,9996894545225;397,000310545478;574,0;291,395;37,1596863490677;9,61999689454522;72,0;1,2;1,2
33;9648,33174625923;16,002683749963;321,028447749607;464,041329749429;235,321107693459;31,4740900349435;8,65037035749489;75,0;1,0;1,3
34;10134,474624344;18,9939611993563;298,027510091822;431,03891671526;218,549931397014;33,3952226377129;8,37032877914616;60,0;10,0;0,7
35;9838,07055208496;13,0011957980502;316,0;456,000108708914;231,464992933921;28,211202320585;8,58000217417827;61,0;0,4;13,0
36;10189,2583801127;17,999505916131;334,013834348331;482,020010396693;244,345357233103;34,0801778701928;8,81017539977348;62,0;0,2;10,0
37;7541,47698302233;20,9982031836711;407,944747897887;588,920041673365;299,089180825049;40,6655124512186;9,74929474959092;57,0;0,2;12,0
38;8177,71731006397;20,0;359,000242444199;518,000727332597;263,055457007315;37,2700339421879;9,12000969776796;65,0;0,2;11,3
39;7650,32649523633;19,0;310,999569267498;449,998707802495;228,863908093108;34,0099526194248;8,52998707802495;72,0;0,1;10,5
40;7880,14670127618;18,0005354061175;262,051755924687;379,074599919032;192,178072729012;30,6430303986248;7,91065319546329;80,0;0,1;9,8
41;8931,93291458669;19,9999322369563;502,98515989342;725,978790167308;368,734169093903;44,2492207249969;10,9498136516297;65,0;4,3;2,5
42;8994,07558675626;20,9994024762351;524,990738381644;759,986256953408;385,50816432813;46,358945370555;11,239880495247;45,0;2,7;4,2
43;9561,66798155337;18,0011740397688;485,020897907885;702,029820610128;356,539987791689;41,4121696254928;10,7302606368287;72,0;1,0;3,5
44;8715,98419227126;19,9991217928479;533,926230599223;770,894615141747;391,31174112726;45,695635310454;11,3290866645618;73,0;0,6;4,5
45;7852,08128850932;20,9993978628939;499,0;720,000602137106;365,56;45,019403884265;10,89;79,0;0,5;4,5
46;7124,2596881336;21,0004075341746;464,0;670,000407534175;339,755529794427;43,3504156848581;10,4500040753417;85,0;0,4;4,4
47;9484,06847147148;21,9941960839344;428,949699394098;620,925516410492;315,211960166787;42,6917584391869;10,0193615692328;91,0;0,4;4,4
48;10883,8806986176;17,0009439049863;342,002298203445;495,003324187126;251,421693899057;33,5310526592565;8,93002831714959;130,0;1,9;0,6
49;9376,33577398449;34,9841829213226;311,072758561916;450,105296552338;228,918021107309;49,9976988319543;8,53092190972863;98,0;0,6;5,4
50;8611,0117555103;18,000279111278;441,000328366209;638,000459712693;323,635243319361;39,2702948728561;10,1700041045776;86,0;0,1;8,8
51;8561,26470806196;17,9990854577885;590,828980606451;853,752159060686;433,100046097644;46,4808088507745;12,0578325349588;127,0;0,1;9,6
52;7709,02055758785;17,0000317246726;554,0;799,000063449345;406,184997937896;43,6600339453997;11,5800006344935;127,0;0,1;9,7
53;7504,16369608021;16,9999233632583;517,0;745,999923363258;379,079955167506;41,8999179986864;11,1199984672652;128,0;0,1;9,9
54;9434,51125645482;16,0004676971724;479,995790725448;691,994153785345;351,387127170118;39,0702806183035;10,6399508917969;128,0;0,1;10,0
55;9276,04617242001;17,0004640444222;425,005336510856;613,007888755178;311,41889101248;37,4407192688545;9,95006728644122;72,0;4,6;0,5
56;9315,97133174029;20,0001426281578;393,010269227359;568,014548072092;288,217444476694;38,9106375478652;9,55012979162357;68,0;2,2;3,4
57;9155,1441190529;23,9993632442434;433,01103709978;625,01655564967;317,208346806709;44,8499087316749;10,0601422087856;284,0;2,3;2,3
58;9672,67137661821;24,9997275096337;524,994096042063;759,991098648033;385,510554319673;50,3594286785319;11,239921886095;65,0;0,4;2,9
59;6574,4078124607;23,00040246211;551,99959753789;797,00080492422;404,885;49,5804225852155;11,5600040246211;68,0;0,4;3,2
60;6971,42954420617;21,9998835608007;578,0;835,999767121601;424,254916745972;49,8498858895847;11,890001164392;70,0;0,3;3,4
61;11057,6210432949;20,0001276593246;604,000063829662;872,999936170338;442,910004148928;49,1401212763584;12,2299980851101;73,0;0,3;3,7
62;9208,10302402006;20,0003016808786;630,99996228989;909,000188550549;461,630071083557;50,3303084686984;12,5400018855055;75,0;9,9;0,5
63;10089,8036761613;27,9981213029791;656,977338217185;949,966770546442;482,218125191102;59,6970093491798;12,8997088019618;78,0;0,2;3,0
64;9300,0864035462;20,0005189402174;490,022444164404;708,032563498644;359,141637872046;43,6016100120246;10,7802854171196;97,0;0,3;4,2
65;9175,49073588329;16,0012827811504;495,994548180111;716,992303313098;364,255872651649;39,9110230179674;10,8599326539896;107,0;0,4;6,9
66;7464,61372359209;16,000313925111;485,0;701,999058224667;356,524591897356;39,4102919503533;10,7299937214978;109,0;0,3;7,7
67;7707,32517569832;16,9997135015874;473,999713501587;684,000572996825;347,490186223968;39,8397220965398;10,5800028649841;111,0;0,3;8,4
68;9084,92361523697;17,0037814239122;461,962185760878;667,944034926099;339,076733856256;39,3019134004996;10,4395084148914;113,0;0,2;9,2
69;10361,157922931;21,9987119280015;400,05925131193;578,085656787898;293,388599627058;41,2915617872982;9,65074708175911;74,0;4,6;0,6
70;9024,20228061726;22,9995684680165;521,977776102851;753,967742984235;382,963583983933;48,1284982686975;11,1797195042107;107,0;0,9;5,0
71;9560,63044432171;20,0043994723606;438,23097229893;631,337292880977;320,621102812557;41,06561812688;10,1129403140277;72,0;0,2;5,3
72;9593,83398664717;22,9993523536301;668,938257712733;967,910193036702;491,224493127816;55,2663623862222;13,0492163478924;96,0;0,1;6,7
73;8857,80092025107;23,0003511106683;614,0;888,999297778663;451,294771778066;52,6403335551349;12,3599964888933;101,0;0,1;7,2
74;7555,74465597904;23,999816902882;559,0;808,000366194236;410,67;50,9598242267667;11,6600018309712;105,0;0,1;7,6
75;10318,4850267458;23,9990698157521;503,995814170885;728,993721256327;370,041855977242;48,3188581988358;10,9699441889451;110,0;0,1;8,1
76;8655,36410090333;16,0041316622291;413,035445312808;596,051971961724;302,406488304007;35,8658734840426;9,80045665740427;85,0;0,1;7,8
77;13259,8564128855;26,9932819759482;484,984951626124;701,977158718224;356,513227334652;50,4025161212063;10,7297984592784;92,0;0,1;7,8
78;9893,65093410717;13,0050265182021;500,986177074944;722,980836399355;366,850463752499;37,114395061853;10,9098366381584;100,0;0,2;12,0
79;8596,06571649064;14,9999653576749;473,0;682,99993071535;346,839957216729;37,7999618934424;10,5699989607302;97,0;0,2;11,5
80;9195,17754519402;16,0003868555061;445,0;641,001547422024;325,585729222629;37,390444883832;10,2000154742202;95,0;0,2;11,0
81;7671,76419055884;17,9995934107954;416,999593410795;602,998373643181;306,214233579349;38,1295324224147;9,86998373643181;92,0;0,2;10,5
82;10482,3357321626;19,0006531640486;387,977465840323;560,967341797569;284,943357380041;37,7195754433684;9,4997191394591;89,0;0,2;10,0
83;11261,4922815315;21,9986839853071;290,120020539992;419,173450736524;212,833072967307;36,0144586577795;8,27151078486744;66,0;1,2;1,8
84;10112,1354890345;20,0006629801511;647,975228650717;935,964199071839;475,131853630554;51,2394702185883;12,7796877966197;120,0;17,0;14,0
85;11209,0650157274;28,9951429388438;595,0;859,000809510193;436,475;57,6751469863947;12,11;100,0;0,5;11,0
86;9998,14463329981;26,001303002701;542,020413708982;784,028666059421;397,814821655724;52,1322932847537;11,4402606005402;76,0;0,1;12,0
87;9119,00592859403;25,9999395041426;536,0;774,999939504143;393,249964609923;51,8599352694326;11,3699987900829;80,0;0,1;9,6
88;8339,29755667021;25,000322134228;530,0;765,000644268456;388,115418774496;50,5203350195971;11,2800032213423;83,0;0,1;7,2
89;11583,8735308663;24,9985267209865;523,933113132786;756,903647552516;384,23096927443;50,2153267589691;11,1991631775203;87,0;0,1;4,8
90;11009,2015951632;20,0018210945186;291,052447522135;422,075211203617;214,083281227875;34,0643269205761;8,28065559402668;90,0;0,1;2,4
91;11539,811303599;24,9980479682657;346,044408721955;500,064417047232;254,052619263627;41,6601968298665;8,96056283581672;107,0;0,3;10,0
